DateTime,Air Temperature (1.5m)
2022-09-11,6.873264
2022-09-12,10.7510417
2022-09-13,11.117708
2022-09-14,7.38020833
2022-09-15,4.457986
2022-09-16,3.4350694
2022-09-17,6.3663195
2022-09-18,6.3951389
2022-09-19,7.971875
2022-09-20,9.4763889
2022-09-21,11.1246527
2022-09-22,9.2378472
2022-09-23,8.715625
2022-09-24,10.8326389
2022-09-25,8.9611111
2022-09-26,8.551736
2022-09-27,7.434375
2022-09-28,7.32118054
2022-09-29,8.8479167
2022-09-30,10.2350694
2022-10-01,10.0381944
2022-10-02,9.0729166
2022-10-03,12.747917
2022-10-04,9.11632
2022-10-05,6.884722
2022-10-06,6.2006944
2022-10-07,0.0229167
2022-10-08,2.8850695
2022-10-09,6.444792
2022-10-10,8.009375
2022-10-11,8.387153
2022-10-12,9.480208
2022-10-13,9.2684028
2022-10-14,8.9118056
2022-10-15,6.180903
2022-10-16,6.5319444
2022-10-17,7.4111111
2022-10-18,10.5611111
2022-10-19,8.846528
2022-10-20,7.661111
2022-10-21,7.69375
2022-10-22,6.096875
2022-10-23,5.263889
2022-10-24,8.619097
2022-10-25,10.2048611
2022-10-26,8.52118
2022-10-27,10.226736
2022-10-28,11.803125
2022-10-29,12.559028
2022-10-30,16.643403
2022-10-31,14.1003472
2022-11-01,13.732292
2022-11-02,12.7753472
